team,year,pass_completions,pass_attempts,passing_yards,passing_tds,interceptions,sacks_taken,rush_attempts,rushing_yards,rushing_tds,fumbles_lost,total_plays,total_yards,total_turnovers,offensive_tds,yards_per_play,cmp_percentage,yards_per_pass,yards_per_rush,net_yards_per_pass,pass_td_int_ratio,conference,division
CHI,2020,402.0,652.0,3925.0,26.0,16.0,36.0,394.0,1647.0,12.0,0.0,1046.0,5572.0,16.0,38.0,5.3269596,61.65644,6.0199385,4.180203,5.7049417,1.625,NFC,NFC North
CHI,2021,332.0,604.0,3635.0,16.0,20.0,58.0,475.0,2015.0,14.0,2.0,1079.0,5650.0,22.0,30.0,5.23633,54.966885,6.018212,4.2421055,5.4909368,0.8,NFC,NFC North
CHI,2022,223.0,440.0,2598.0,19.0,15.0,58.0,558.0,3014.0,18.0,2.0,998.0,5612.0,17.0,37.0,5.6232467,50.681816,5.9045453,5.4014335,5.2168674,1.2666667,NFC,NFC North
CHI,2023,321.0,566.0,3421.0,19.0,15.0,50.0,535.0,2399.0,16.0,1.0,1101.0,5820.0,16.0,35.0,5.2861037,56.713783,6.0441694,4.4841123,5.553571,1.2666667,NFC,NFC North
CHI,2024,353.0,644.0,3552.0,20.0,7.0,68.0,431.0,1734.0,13.0,2.0,1075.0,5286.0,9.0,33.0,4.917209,54.813663,5.5155277,4.023202,4.988764,2.857143,NFC,NFC North
CIN,2020,372.0,629.0,3793.0,19.0,11.0,48.0,411.0,1668.0,13.0,5.0,1040.0,5461.0,16.0,32.0,5.2509613,59.141495,6.0302067,4.058394,5.6026587,1.7272727,AFC,AFC North
CIN,2021,384.0,613.0,4806.0,36.0,14.0,55.0,438.0,1742.0,16.0,1.0,1051.0,6548.0,15.0,52.0,6.230257,62.642742,7.8401303,3.977169,7.1946106,2.5714285,AFC,AFC North
CIN,2022,418.0,659.0,4520.0,35.0,12.0,44.0,400.0,1528.0,14.0,0.0,1059.0,6048.0,12.0,49.0,5.711048,63.42944,6.858877,3.82,6.4295874,2.9166667,AFC,AFC North
CIN,2023,420.0,666.0,4257.0,27.0,14.0,50.0,383.0,1527.0,12.0,0.0,1049.0,5784.0,14.0,39.0,5.5138226,63.06306,6.391892,3.9869452,5.945531,1.9285715,AFC,AFC North
CIN,2024,460.0,702.0,4918.0,43.0,9.0,48.0,381.0,1574.0,11.0,2.0,1083.0,6492.0,11.0,54.0,5.9944596,65.52706,7.005698,4.1312337,6.5573335,4.7777777,AFC,AFC North
CLE,2020,315.0,528.0,3701.0,27.0,8.0,26.0,496.0,2372.0,21.0,3.0,1024.0,6073.0,11.0,48.0,5.930664,59.659092,7.0094695,4.782258,6.6805053,3.375,AFC,AFC North
CLE,2021,320.0,572.0,3619.0,21.0,14.0,49.0,486.0,2471.0,20.0,1.0,1058.0,6090.0,15.0,41.0,5.7561436,55.944054,6.326923,5.084362,5.8276973,1.5,AFC,AFC North
CLE,2022,335.0,586.0,3710.0,19.0,12.0,44.0,533.0,2490.0,19.0,2.0,1119.0,6200.0,14.0,38.0,5.5406613,57.167236,6.331058,4.67167,5.888889,1.5833334,AFC,AFC North
CLE,2023,355.0,671.0,4011.0,24.0,23.0,45.0,525.0,2017.0,15.0,5.0,1196.0,6028.0,28.0,39.0,5.040134,52.90611,5.9776454,3.8419049,5.6019554,1.0434783,AFC,AFC North
CLE,2024,395.0,735.0,3879.0,19.0,23.0,66.0,391.0,1608.0,8.0,3.0,1126.0,5487.0,26.0,27.0,4.8730016,53.741497,5.277551,4.112532,4.8426967,0.82608694,AFC,AFC North
DAL,2020,413.0,685.0,4511.0,25.0,13.0,44.0,434.0,1788.0,14.0,5.0,1119.0,6299.0,18.0,39.0,5.629133,60.29197,6.5854015,4.119816,6.1879287,1.9230769,NFC,NFC East
DAL,2021,444.0,685.0,4963.0,40.0,11.0,33.0,478.0,2104.0,15.0,4.0,1163.0,7067.0,15.0,55.0,6.076526,64.81752,7.2452555,4.401674,6.9122562,3.6363637,NFC,NFC East
DAL,2022,355.0,584.0,3911.0,28.0,18.0,27.0,532.0,2298.0,24.0,1.0,1116.0,6209.0,19.0,52.0,5.56362,60.78767,6.696918,4.319549,6.400982,1.5555556,NFC,NFC East
DAL,2023,428.0,657.0,4660.0,36.0,10.0,40.0,470.0,1920.0,14.0,2.0,1127.0,6580.0,12.0,50.0,5.838509,65.1446,7.0928464,4.0851064,6.6857963,3.6,NFC,NFC East
DAL,2024,398.0,678.0,4092.0,23.0,14.0,38.0,429.0,1705.0,6.0,5.0,1107.0,5797.0,19.0,29.0,5.2366757,58.702065,6.035398,3.974359,5.7150836,1.6428572,NFC,NFC East
DEN,2020,317.0,593.0,3673.0,21.0,23.0,32.0,442.0,1918.0,13.0,3.0,1035.0,5591.0,26.0,34.0,5.4019322,53.456997,6.193929,4.3393664,5.8768,0.9130435,AFC,AFC West
DEN,2021,354.0,584.0,3856.0,20.0,9.0,40.0,455.0,2025.0,16.0,6.0,1039.0,5881.0,15.0,36.0,5.66025,60.61644,6.60274,4.4505496,6.179487,2.2222223,AFC,AFC West
DEN,2022,345.0,635.0,4007.0,18.0,15.0,63.0,445.0,1935.0,11.0,3.0,1080.0,5942.0,18.0,29.0,5.501852,54.330708,6.3102365,4.348315,5.740688,1.2,AFC,AFC West
DEN,2023,337.0,568.0,3566.0,28.0,9.0,52.0,455.0,1810.0,8.0,2.0,1023.0,5376.0,11.0,36.0,5.255132,59.330986,6.278169,3.9780219,5.751613,3.1111112,AFC,AFC West
DEN,2024,379.0,595.0,3808.0,30.0,12.0,24.0,461.0,1908.0,12.0,3.0,1056.0,5716.0,15.0,42.0,5.412879,63.69748,6.4,4.1388288,6.151858,2.5,AFC,AFC West
DET,2020,374.0,628.0,4397.0,27.0,13.0,42.0,367.0,1499.0,17.0,6.0,995.0,5896.0,19.0,44.0,5.925628,59.554142,7.001592,4.084469,6.5626864,2.0769231,NFC,NFC North
DET,2021,396.0,635.0,3884.0,23.0,14.0,36.0,427.0,1886.0,12.0,4.0,1062.0,5770.0,18.0,35.0,5.433145,62.362206,6.1165357,4.416862,5.7883754,1.6428572,NFC,NFC North
DET,2022,383.0,613.0,4444.0,29.0,7.0,24.0,484.0,2179.0,23.0,3.0,1097.0,6623.0,10.0,52.0,6.0373745,62.47961,7.2495923,4.502066,6.9764524,4.142857,NFC,NFC North
DET,2023,408.0,642.0,4606.0,30.0,12.0,31.0,501.0,2311.0,27.0,5.0,1143.0,6917.0,17.0,57.0,6.0516186,63.551403,7.1744547,4.6127744,6.843982,2.5,NFC,NFC North
DET,2024,399.0,585.0,4718.0,39.0,12.0,33.0,535.0,2488.0,29.0,1.0,1120.0,7206.0,13.0,68.0,6.4339285,68.20513,8.064958,4.6504674,7.634304,3.25,NFC,NFC North
GB,2020,372.0,547.0,4299.0,48.0,5.0,21.0,446.0,2118.0,16.0,1.0,993.0,6417.0,6.0,64.0,6.4622355,68.00732,7.859232,4.748879,7.568662,9.6,NFC,NFC North
GB,2021,402.0,628.0,4526.0,39.0,7.0,33.0,447.0,1900.0,13.0,2.0,1075.0,6426.0,9.0,52.0,5.9776745,64.01273,7.2070065,4.2505593,6.8472013,5.571429,NFC,NFC North
GB,2022,364.0,598.0,3890.0,27.0,12.0,32.0,456.0,2113.0,12.0,3.0,1054.0,6003.0,15.0,39.0,5.695446,60.869564,6.505017,4.633772,6.174603,2.25,NFC,NFC North
GB,2023,374.0,614.0,4210.0,32.0,11.0,30.0,443.0,1905.0,10.0,3.0,1057.0,6115.0,14.0,42.0,5.785241,60.912056,6.8566775,4.3002257,6.537267,2.909091,NFC,NFC North
GB,2024,308.0,505.0,3939.0,28.0,11.0,22.0,528.0,2496.0,23.0,4.0,1033.0,6435.0,15.0,51.0,6.229429,60.9901,7.8,4.7272725,7.4743834,2.5454545,NFC,NFC North
HOU,2020,383.0,600.0,4843.0,33.0,7.0,50.0,344.0,1466.0,10.0,4.0,944.0,6309.0,11.0,43.0,6.683263,63.833332,8.071667,4.2616277,7.4507694,4.714286,AFC,AFC South
HOU,2021,354.0,591.0,3630.0,21.0,15.0,44.0,421.0,1422.0,8.0,1.0,1012.0,5052.0,16.0,29.0,4.992095,59.89848,6.142132,3.3776722,5.7165356,1.4,AFC,AFC South
HOU,2022,352.0,621.0,3642.0,20.0,19.0,38.0,399.0,1476.0,7.0,5.0,1020.0,5118.0,24.0,27.0,5.0176473,56.68277,5.864734,3.699248,5.5265555,1.0526316,AFC,AFC South
HOU,2023,372.0,644.0,4578.0,27.0,8.0,47.0,446.0,1637.0,10.0,1.0,1090.0,6215.0,9.0,37.0,5.7018347,57.763977,7.1086955,3.6704035,6.6251807,3.375,AFC,AFC South
HOU,2024,357.0,624.0,3952.0,20.0,12.0,54.0,436.0,1909.0,15.0,3.0,1060.0,5861.0,15.0,35.0,5.5292454,57.211536,6.3333335,4.3784404,5.8289084,1.6666666,AFC,AFC South
IND,2020,371.0,575.0,4186.0,24.0,11.0,21.0,462.0,1996.0,20.0,1.0,1037.0,6182.0,12.0,44.0,5.961427,64.52174,7.28,4.3203464,7.02349,2.1818182,AFC,AFC South
IND,2021,324.0,557.0,3588.0,27.0,8.0,32.0,500.0,2540.0,22.0,3.0,1057.0,6128.0,11.0,49.0,5.79754,58.168762,6.441652,5.08,6.091681,3.375,AFC,AFC South
IND,2022,398.0,668.0,3855.0,17.0,20.0,60.0,440.0,1866.0,8.0,6.0,1108.0,5721.0,26.0,25.0,5.1633573,59.580837,5.770958,4.240909,5.2953296,0.85,AFC,AFC South
IND,2023,355.0,620.0,3882.0,18.0,10.0,41.0,479.0,2059.0,19.0,2.0,1099.0,5941.0,12.0,37.0,5.4058237,57.258064,6.2612906,4.2985387,5.87292,1.8,AFC,AFC South
IND,2024,289.0,547.0,3599.0,20.0,19.0,32.0,499.0,2318.0,20.0,4.0,1046.0,5917.0,23.0,40.0,5.656788,52.83364,6.5795245,4.6452904,6.2158895,1.0526316,AFC,AFC South
JAX,2020,387.0,668.0,3955.0,25.0,16.0,44.0,338.0,1519.0,9.0,1.0,1006.0,5474.0,17.0,34.0,5.441352,57.934128,5.9206586,4.494083,5.554775,1.5625,AFC,AFC South
JAX,2021,361.0,641.0,3674.0,12.0,17.0,32.0,393.0,1755.0,13.0,4.0,1034.0,5429.0,21.0,25.0,5.2504835,56.318253,5.7316694,4.4656487,5.4591384,0.7058824,AFC,AFC South
JAX,2022,394.0,630.0,4148.0,25.0,9.0,28.0,449.0,2116.0,16.0,7.0,1079.0,6264.0,16.0,41.0,5.8053756,62.539684,6.584127,4.7126946,6.3039513,2.7777777,AFC,AFC South
JAX,2023,412.0,665.0,4377.0,22.0,14.0,41.0,455.0,1646.0,17.0,3.0,1120.0,6023.0,17.0,39.0,5.3776784,61.954887,6.581955,3.6175823,6.1997166,1.5714285,AFC,AFC South
JAX,2024,343.0,585.0,3717.0,19.0,15.0,32.0,414.0,1729.0,13.0,3.0,999.0,5446.0,18.0,32.0,5.4514513,58.63248,6.353846,4.1763287,6.024311,1.2666667,AFC,AFC South
KC,2020,420.0,657.0,5005.0,40.0,7.0,24.0,403.0,1787.0,13.0,1.0,1060.0,6792.0,8.0,53.0,6.407547,63.92694,7.6179605,4.434243,7.349486,5.714286,AFC,AFC West
KC,2021,448.0,705.0,4937.0,37.0,13.0,28.0,432.0,1955.0,16.0,5.0,1137.0,6892.0,18.0,53.0,6.0615654,63.546097,7.0028367,4.525463,6.7353344,2.8461537,AFC,AFC West
KC,2022,435.0,680.0,5250.0,41.0,12.0,26.0,419.0,1970.0,18.0,2.0,1099.0,7220.0,14.0,59.0,6.5696087,63.97059,7.720588,4.7016706,7.4362607,3.4166667,AFC,AFC West
KC,2023,421.0,663.0,4383.0,28.0,17.0,28.0,418.0,1783.0,9.0,1.0,1081.0,6166.0,18.0,37.0,5.7039776,63.49925,6.61086,4.26555,6.3429813,1.6470588,AFC,AFC West
KC,2024,404.0,643.0,4046.0,26.0,11.0,41.0,450.0,1790.0,15.0,2.0,1093.0,5836.0,13.0,41.0,5.3394327,62.830482,6.2923794,3.9777777,5.9152045,2.3636363,AFC,AFC West
LA,2020,392.0,616.0,4183.0,20.0,14.0,25.0,473.0,2018.0,19.0,3.0,1089.0,6201.0,17.0,39.0,5.694215,63.636364,6.7905846,4.2663846,6.525741,1.4285715,NFC,NFC West
LA,2021,406.0,641.0,4893.0,41.0,18.0,31.0,420.0,1683.0,10.0,2.0,1061.0,6576.0,20.0,51.0,6.1979265,63.338535,7.633385,4.007143,7.28125,2.2777777,NFC,NFC West
LA,2022,347.0,590.0,3506.0,16.0,15.0,59.0,411.0,1661.0,15.0,2.0,1001.0,5167.0,17.0,31.0,5.161838,58.81356,5.942373,4.041363,5.4021573,1.0666667,NFC,NFC West
LA,2023,361.0,622.0,4300.0,26.0,13.0,34.0,478.0,2045.0,18.0,1.0,1100.0,6345.0,14.0,44.0,5.768182,58.038586,6.913183,4.2782426,6.554878,2.0,NFC,NFC West
LA,2024,367.0,593.0,4096.0,22.0,9.0,31.0,451.0,1765.0,15.0,3.0,1044.0,5861.0,12.0,37.0,5.6139846,61.888702,6.9072514,3.9135256,6.5641026,2.4444444,NFC,NFC West
LAC,2020,413.0,664.0,4548.0,31.0,10.0,34.0,468.0,1784.0,12.0,2.0,1132.0,6332.0,12.0,43.0,5.5936394,62.198795,6.8493977,3.8119657,6.5157595,3.1,AFC,AFC West
LAC,2021,443.0,713.0,5014.0,38.0,15.0,31.0,426.0,1834.0,18.0,2.0,1139.0,6848.0,17.0,56.0,6.0122914,62.13184,7.032258,4.3051643,6.7392473,2.5333333,AFC,AFC West
LAC,2022,485.0,752.0,4791.0,26.0,10.0,39.0,404.0,1524.0,15.0,2.0,1156.0,6315.0,12.0,41.0,5.462803,64.49468,6.371011,3.772277,6.05689,2.6,AFC,AFC West
LAC,2023,409.0,676.0,4312.0,24.0,8.0,43.0,431.0,1642.0,11.0,3.0,1107.0,5954.0,11.0,35.0,5.3785005,60.50296,6.3786983,3.8097448,5.997218,3.0,AFC,AFC West
LAC,2024,336.0,557.0,3901.0,23.0,3.0,44.0,465.0,1882.0,17.0,2.0,1022.0,5783.0,5.0,40.0,5.6585126,60.323162,7.0035906,4.047312,6.4908485,7.6666665,AFC,AFC West
LV,2020,369.0,580.0,4383.0,28.0,10.0,28.0,457.0,1916.0,20.0,4.0,1037.0,6299.0,14.0,48.0,6.0742526,63.620693,7.5568967,4.19256,7.2088814,2.8,AFC,AFC West
LV,2021,429.0,671.0,4808.0,23.0,14.0,40.0,414.0,1617.0,14.0,2.0,1085.0,6425.0,16.0,37.0,5.921659,63.93443,7.165425,3.905797,6.7623067,1.6428572,AFC,AFC West
LV,2022,359.0,624.0,4182.0,28.0,17.0,35.0,429.0,2057.0,12.0,1.0,1053.0,6239.0,18.0,40.0,5.9249763,57.532055,6.701923,4.794872,6.3459787,1.6470588,AFC,AFC West
LV,2023,348.0,599.0,3666.0,20.0,18.0,40.0,415.0,1542.0,11.0,2.0,1014.0,5208.0,20.0,31.0,5.1360946,58.096825,6.1202,3.7156627,5.737089,1.1111112,AFC,AFC West
LV,2024,410.0,688.0,4117.0,19.0,16.0,50.0,382.0,1357.0,10.0,8.0,1070.0,5474.0,24.0,29.0,5.1158876,59.59302,5.9840117,3.552356,5.578591,1.1875,AFC,AFC West
MIA,2020,370.0,598.0,3937.0,24.0,13.0,34.0,429.0,1688.0,15.0,5.0,1027.0,5625.0,18.0,39.0,5.477118,61.87291,6.583612,3.934732,6.22943,1.8461539,AFC,AFC East
MIA,2021,404.0,658.0,3936.0,21.0,14.0,40.0,442.0,1568.0,12.0,4.0,1100.0,5504.0,18.0,33.0,5.0036364,61.39818,5.981763,3.5475113,5.6389685,1.5,AFC,AFC East
MIA,2022,368.0,621.0,4765.0,30.0,15.0,35.0,390.0,1686.0,12.0,2.0,1011.0,6451.0,17.0,42.0,6.380811,59.25926,7.673108,4.3230767,7.2637196,2.0,AFC,AFC East
MIA,2023,393.0,599.0,4698.0,30.0,15.0,31.0,456.0,2308.0,27.0,7.0,1055.0,7006.0,22.0,57.0,6.6407585,65.609344,7.843072,5.0614033,7.457143,2.0,AFC,AFC East
MIA,2024,413.0,639.0,4036.0,22.0,10.0,43.0,448.0,1795.0,12.0,5.0,1087.0,5831.0,15.0,34.0,5.3643055,64.63224,6.3161187,4.006696,5.9178886,2.2,AFC,AFC East
MIN,2020,349.0,563.0,4265.0,35.0,13.0,39.0,472.0,2283.0,20.0,3.0,1035.0,6548.0,16.0,55.0,6.32657,61.98934,7.5754886,4.8368645,7.0847178,2.6923077,NFC,NFC North
MIN,2021,398.0,637.0,4450.0,34.0,7.0,30.0,453.0,1930.0,10.0,3.0,1090.0,6380.0,10.0,44.0,5.853211,62.480377,6.9858713,4.2604856,6.671664,4.857143,NFC,NFC North
MIN,2022,448.0,723.0,4818.0,30.0,15.0,47.0,404.0,1661.0,18.0,3.0,1127.0,6479.0,18.0,48.0,5.748891,61.964043,6.6639004,4.1113863,6.257143,2.0,NFC,NFC North
MIN,2023,424.0,679.0,4700.0,30.0,19.0,47.0,393.0,1553.0,7.0,4.0,1072.0,6253.0,23.0,37.0,5.8330226,62.44477,6.921944,3.951654,6.4738293,1.5789474,NFC,NFC North
MIN,2024,364.0,598.0,4379.0,35.0,12.0,49.0,457.0,1855.0,9.0,3.0,1055.0,6234.0,15.0,44.0,5.9090047,60.869564,7.3227425,4.059081,6.768161,2.9166667,NFC,NFC North
NE,2020,283.0,478.0,3124.0,12.0,14.0,37.0,504.0,2346.0,20.0,1.0,982.0,5470.0,15.0,32.0,5.570265,59.20502,6.535565,4.654762,6.0660195,0.85714287,AFC,AFC East
NE,2021,364.0,565.0,4098.0,24.0,13.0,28.0,491.0,2151.0,24.0,3.0,1056.0,6249.0,16.0,48.0,5.9176135,64.424774,7.2530975,4.3808556,6.910624,1.8461539,AFC,AFC East
NE,2022,358.0,585.0,3815.0,19.0,14.0,41.0,425.0,1832.0,12.0,3.0,1010.0,5647.0,17.0,31.0,5.5910892,61.196583,6.5213675,4.3105884,6.0942492,1.3571428,AFC,AFC East
NE,2023,351.0,606.0,3392.0,16.0,21.0,48.0,416.0,1627.0,9.0,2.0,1022.0,5019.0,23.0,25.0,4.910959,57.92079,5.5973597,3.9110577,5.1865444,0.7619048,AFC,AFC East
NE,2024,342.0,585.0,3343.0,18.0,11.0,52.0,446.0,1969.0,11.0,6.0,1031.0,5312.0,17.0,29.0,5.1522794,58.46154,5.71453,4.4147983,5.248038,1.6363636,AFC,AFC East
NO,2020,370.0,552.0,3945.0,28.0,8.0,29.0,494.0,2265.0,30.0,3.0,1046.0,6210.0,11.0,58.0,5.9369025,67.028984,7.146739,4.58502,6.790017,3.5,NFC,NFC South
NO,2021,293.0,545.0,3437.0,29.0,13.0,37.0,511.0,1991.0,12.0,1.0,1056.0,5428.0,14.0,41.0,5.1401515,53.76147,6.306422,3.8962817,5.9054985,2.2307692,NFC,NFC South
NO,2022,338.0,552.0,3969.0,24.0,14.0,38.0,467.0,1982.0,12.0,4.0,1019.0,5951.0,18.0,36.0,5.8400393,61.23188,7.1902175,4.2441115,6.7271185,1.7142857,NFC,NFC South
NO,2023,406.0,643.0,4225.0,28.0,11.0,35.0,482.0,1742.0,13.0,3.0,1125.0,5967.0,14.0,41.0,5.304,63.141525,6.570762,3.6141078,6.2315636,2.5454545,NFC,NFC South
NO,2024,340.0,592.0,3730.0,21.0,12.0,37.0,444.0,1954.0,15.0,0.0,1036.0,5684.0,12.0,36.0,5.4864864,57.43243,6.300676,4.400901,5.9300475,1.75,NFC,NFC South
NYG,2020,321.0,571.0,3336.0,12.0,11.0,50.0,399.0,1768.0,13.0,3.0,970.0,5104.0,14.0,25.0,5.2618556,56.217163,5.842382,4.4310775,5.3719807,1.0909091,NFC,NFC East
NYG,2021,351.0,633.0,3463.0,15.0,20.0,38.0,422.0,1688.0,8.0,2.0,1055.0,5151.0,22.0,23.0,4.8824644,55.450237,5.470774,4.0,5.160954,0.75,NFC,NFC East
NYG,2022,346.0,574.0,3431.0,17.0,6.0,49.0,521.0,2519.0,21.0,1.0,1095.0,5950.0,7.0,38.0,5.4337897,60.278744,5.977352,4.834933,5.507223,2.8333333,NFC,NFC East
NYG,2023,338.0,606.0,3351.0,15.0,12.0,85.0,455.0,1874.0,10.0,3.0,1061.0,5225.0,15.0,25.0,4.9245996,55.775578,5.529703,4.1186814,4.8494935,1.25,NFC,NFC East
NYG,2024,366.0,645.0,3521.0,15.0,13.0,48.0,425.0,1783.0,13.0,5.0,1070.0,5304.0,18.0,28.0,4.9570093,56.744186,5.4589148,4.195294,5.080808,1.1538461,NFC,NFC East
NYJ,2020,292.0,544.0,3115.0,16.0,14.0,43.0,406.0,1683.0,9.0,1.0,950.0,4798.0,15.0,25.0,5.050526,53.676468,5.726103,4.1453204,5.306644,1.1428572,AFC,AFC East
NYJ,2021,357.0,661.0,3959.0,20.0,20.0,53.0,384.0,1667.0,14.0,1.0,1045.0,5626.0,21.0,34.0,5.383732,54.00908,5.98941,4.341146,5.544818,1.0,AFC,AFC East
NYJ,2022,357.0,669.0,4040.0,15.0,14.0,42.0,405.0,1686.0,13.0,1.0,1074.0,5726.0,15.0,28.0,5.331471,53.363228,6.038864,4.162963,5.682138,1.0714285,AFC,AFC East
NYJ,2023,356.0,667.0,3373.0,11.0,15.0,64.0,390.0,1647.0,7.0,6.0,1057.0,5020.0,21.0,18.0,4.7492905,53.373314,5.0569715,4.223077,4.6142273,0.73333335,AFC,AFC East
NYJ,2024,385.0,653.0,4016.0,31.0,11.0,40.0,366.0,1561.0,8.0,2.0,1019.0,5577.0,13.0,39.0,5.473013,58.95865,6.1500764,4.2650275,5.795094,2.8181818,AFC,AFC East
PHI,2020,334.0,670.0,3728.0,22.0,20.0,65.0,412.0,2027.0,16.0,6.0,1082.0,5755.0,26.0,38.0,5.318854,49.850746,5.564179,4.919903,5.0721087,1.1,NFC,NFC East
